name,games,minutes,goals,assists,goals_pens,goals_per90,assists_per90,goals_pens_per90,xg,npxg,xa,xg_per90,xa_per90,npxg_per90,passes_completed,passes,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,progressive_passes,gca,tackles,dribble_tackles,pressures,blocks,interceptions,clearances,touches_att_pen_area,dribbles_completed,progressive_carries,progressive_passes_received,crosses,tackles_won,aerials_won
Ederson,36,"3,194",0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,961,1101,162,163,512,517,283,417,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
Kevin De Bruyne,37,"3,073",8,16,8,0.23,0.47,0.23,6.2,6.2,13.4,0.18,0.39,0.18,2328,2975,980,1146,995,1195,324,536,317,32,66,23,578,40,41,20,99,50,425,233,146,40,14
Nicolás Otamendi,34,"2,967",4,0,4,0.12,0.00,0.12,2.7,2.7,0.7,0.08,0.02,0.08,2825,3034,892,933,1436,1514,475,555,169,0,71,22,256,30,51,169,37,6,337,10,4,42,113
Fernandinho,34,"2,881",5,3,5,0.16,0.09,0.16,2.7,2.7,2.5,0.08,0.08,0.08,2679,2965,1095,1163,1280,1376,270,356,259,13,68,23,460,48,59,102,49,20,331,46,10,49,98
Kyle Walker,32,"2,785",0,6,0,0.00,0.19,0.00,0.7,0.7,4.8,0.02,0.15,0.02,2304,2643,1040,1124,1015,1123,232,343,176,8,53,24,319,30,50,102,39,26,197,70,63,32,73
Raheem Sterling,33,"2,587",18,11,17,0.63,0.38,0.59,18.3,17.1,7.5,0.64,0.26,0.60,1003,1201,649,724,294,354,26,47,81,26,27,8,375,17,17,10,253,45,219,320,51,20,16
David Silva,29,"2,430",9,11,9,0.33,0.41,0.33,7.3,7.3,7.7,0.27,0.29,0.27,2175,2491,1128,1229,867,962,149,227,215,22,38,12,380,31,22,10,172,28,337,255,51,23,15
Leroy Sané,32,"2,419",10,15,10,0.37,0.56,0.37,5.7,5.7,8.0,0.21,0.30,0.21,948,1190,552,641,322,389,47,101,66,26,35,10,380,22,22,10,202,72,187,292,80,25,15
Sergio Agüero,25,"1,963",21,6,17,0.96,0.28,0.78,17.5,14.4,7.4,0.80,0.34,0.66,528,643,363,410,136,170,13,19,38,13,13,2,246,14,14,5,183,39,128,253,14,8,12
Fabian Delph,22,"1,741",1,2,1,0.05,0.10,0.05,0.2,0.2,1.2,0.01,0.06,0.01,1659,1777,912,938,610,647,116,155,108,5,50,18,227,24,39,47,5,26,138,18,12,28,24
Gabriel Jesus,29,"1,668",13,3,13,0.70,0.16,0.70,14.6,13.0,2.2,0.79,0.12,0.70,470,577,302,351,130,160,20,27,33,13,25,7,320,20,13,5,137,26,61,220,8,17,21
Vincent Kompany,17,"1,394",1,1,1,0.06,0.06,0.06,1.1,1.1,0.7,0.07,0.04,0.07,1313,1401,379,394,713,747,209,244,59,1,21,11,93,16,28,84,11,3,89,4,1,13,56
John Stones,18,"1,302",0,0,0,0.00,0.00,0.00,1.1,1.1,0.0,0.08,0.00,0.08,1194,1237,377,388,582,593,225,245,47,1,19,7,91,12,24,61,17,1,56,6,0,12,43
Bernardo Silva,35,"1,533",6,4,6,0.35,0.23,0.35,4.2,3.6,2.2,0.25,0.13,0.21,842,999,449,484,315,373,65,101,61,5,28,8,303,20,13,8,105,35,161,134,55,20,2
