player,team,league_name_fbref,league_name_sofifa,games,minutes,goals,assists,goals_pens,goals_per90,assists_per90,goals_pens_per90,xg,npxg,xa,xg_per90,xa_per90,npxg_per90,crosses,interceptions,tackles_won,aerials_won,touches_att_pen_area,dribbles_completed,progressive_carries,progressive_passes_received,tackles,dribble_tackles,pressures,blocks,clearances,gca,passes_completed,passes,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,progressive_passes
Garissone Innocent,Paris S-G,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Arnaud Kalimuendo,Paris S-G,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Ángel Di María,Paris S-G,Ligue 1,French Ligue 1,26,"2,000",8,14,7,0.36,0.63,0.32,9.1,7.6,13.9,0.41,0.63,0.34,92,10,13,1,139,72,209,275,21,7,410,20,1,23,940,1290,463,538,314,411,144,278,164
Keylor Navas,Paris S-G,Ligue 1,French Ligue 1,21,"1,890",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,468,544,88,88,232,235,146,219,0
Thiago Silva,Paris S-G,Ligue 1,French Ligue 1,21,"1,571",0,0,0,0.00,0.00,0.00,0.2,0.2,0.0,0.01,0.00,0.01,0,14,21,31,8,3,130,4,33,13,91,27,71,2,1440,1502,456,465,709,733,266,290,89
Idrissa Gana Gueye,Paris S-G,Ligue 1,French Ligue 1,20,"1,653",1,2,1,0.05,0.11,0.05,1.2,1.2,3.0,0.06,0.16,0.06,5,22,47,17,23,23,140,46,75,20,450,31,18,6,1468,1590,763,810,576,611,111,127,134
Kylian Mbappé,Paris S-G,Ligue 1,French Ligue 1,20,"1,513",18,5,18,1.07,0.30,1.07,17.1,17.1,8.5,1.01,0.51,1.01,67,1,2,4,208,59,171,259,4,1,137,8,1,12,515,671,327,396,139,185,35,50,48
Juan Bernat,Paris S-G,Ligue 1,French Ligue 1,18,"1,388",0,4,0,0.00,0.26,0.00,0.5,0.5,2.3,0.03,0.15,0.03,31,8,21,10,50,32,95,58,43,17,238,31,30,6,1011,1122,595,633,367,401,34,50,48
Marco Verratti,Paris S-G,Ligue 1,French Ligue 1,20,"1,482",0,5,0,0.00,0.30,0.00,0.2,0.2,2.9,0.01,0.18,0.01,13,16,43,8,13,24,137,41,58,18,375,25,9,13,1607,1733,802,842,605,631,160,204,163
Marquinhos,Paris S-G,Ligue 1,French Ligue 1,19,"1,476",3,1,3,0.18,0.06,0.18,1.8,1.8,0.5,0.11,0.03,0.11,5,11,25,41,17,9,73,17,43,16,293,34,44,3,1207,1294,408,428,589,612,186,221,83
Neymar,Paris S-G,Ligue 1,French Ligue 1,15,"1,318",13,6,9,0.89,0.41,0.61,12.7,8.9,5.9,0.87,0.40,0.61,28,6,7,5,109,86,224,196,14,5,170,10,1,16,759,961,417,475,221,274,91,159,149
Mauro Icardi,Paris S-G,Ligue 1,French Ligue 1,20,"1,267",12,2,12,0.85,0.14,0.85,9.9,9.9,2.6,0.70,0.18,0.70,5,3,4,7,82,5,13,89,6,0,217,10,10,9,149,178,78,88,42,50,11,12,16
Thomas Meunier,Paris S-G,Ligue 1,French Ligue 1,16,"1,242",0,1,0,0.00,0.07,0.00,0.4,0.4,1.9,0.03,0.14,0.03,50,11,16,14,36,9,113,74,28,15,186,30,25,3,772,925,335,381,331,380,95,129,55
Presnel Kimpembe,Paris S-G,Ligue 1,French Ligue 1,16,"1,225",0,0,0,0.00,0.00,0.00,0.4,0.4,0.1,0.03,0.00,0.03,3,18,25,24,8,12,59,3,41,18,124,14,36,0,1061,1119,413,422,516,538,126,143,44
Abdou Diallo,Paris S-G,Ligue 1,French Ligue 1,16,"1,201",0,1,0,0.00,0.07,0.00,0.8,0.8,0.1,0.06,0.01,0.06,6,8,10,17,8,17,100,6,17,6,150,22,40,1,986,1061,337,352,490,515,149,174,72
Pablo Sarabia,Paris S-G,Ligue 1,French Ligue 1,21,"1,164",4,3,4,0.31,0.23,0.31,4.0,4.0,2.9,0.31,0.23,0.31,42,3,10,4,75,10,110,152,18,6,260,12,7,4,524,677,299,338,177,223,34,78,59
Layvin Kurzawa,Paris S-G,Ligue 1,French Ligue 1,14,858,1,0,1,0.10,0.00,0.10,0.6,0.6,0.2,0.07,0.02,0.07,19,14,9,20,29,11,48,41,22,6,142,23,25,3,605,671,352,376,208,225,25,39,36
Leandro Paredes,Paris S-G,Ligue 1,French Ligue 1,17,814,0,0,0,0.00,0.00,0.00,0.4,0.4,0.2,0.05,0.03,0.05,3,10,17,7,1,13,55,14,27,16,139,14,13,2,856,913,368,380,351,364,126,154,84
Julian Draxler,Paris S-G,Ligue 1,French Ligue 1,11,686,0,4,0,0.00,0.52,0.00,1.5,1.5,1.9,0.20,0.25,0.20,5,8,8,3,22,13,71,53,12,5,135,13,3,7,431,485,231,254,159,171,35,47,44
Colin Dagba,Paris S-G,Ligue 1,French Ligue 1,10,668,0,0,0,0.00,0.00,0.00,0.0,0.0,0.6,0.00,0.08,0.00,22,7,4,1,16,9,48,23,7,3,87,12,11,1,372,414,217,231,141,155,10,20,14
Edinson Cavani,Paris S-G,Ligue 1,French Ligue 1,14,605,4,1,3,0.60,0.15,0.45,7.6,6.9,1.5,1.14,0.22,1.02,4,0,4,4,54,6,10,57,6,1,90,7,0,2,120,140,64,73,42,45,7,13,11
Ander Herrera,Paris S-G,Ligue 1,French Ligue 1,8,547,1,1,1,0.16,0.16,0.16,0.2,0.2,0.5,0.03,0.09,0.03,5,5,10,4,9,3,49,32,21,10,117,7,5,2,466,503,252,260,181,195,26,31,30
Thilo Kehrer,Paris S-G,Ligue 1,French Ligue 1,7,480,1,0,1,0.19,0.00,0.19,0.3,0.3,0.3,0.06,0.06,0.06,3,2,6,12,5,0,26,7,10,3,53,3,5,1,376,402,161,172,181,189,30,33,16
Eric Maxim Choupo-Moting,Paris S-G,Ligue 1,French Ligue 1,9,451,3,1,3,0.60,0.20,0.60,2.4,2.4,0.6,0.47,0.11,0.47,5,3,4,5,31,12,12,61,10,4,83,3,3,4,92,112,58,66,28,33,2,4,9
Nianzou Kouassi,Paris S-G,Ligue 1,French Ligue 1,6,452,2,0,2,0.40,0.00,0.40,0.4,0.4,0.2,0.08,0.05,0.08,0,3,4,11,3,2,24,3,5,3,50,6,5,0,309,336,92,104,174,183,41,44,24
Alphonse Areola,Paris S-G,Ligue 1,French Ligue 1,3,270,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,58,14,14,32,32,7,9,0
Sergio Rico,Paris S-G,Ligue 1,French Ligue 1,2,180,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,49,13,15,21,21,4,13,0
Mitchel Bakker,Paris S-G,Ligue 1,French Ligue 1,1,90,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,3,0,0,1,3,2,3,0,13,1,0,0,91,94,50,52,31,31,8,8,1
Marcin Bułka,Paris S-G,Ligue 1,French Ligue 1,1,90,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,5,5,11,11,1,2,0
Adil Aouchiche,Paris S-G,Ligue 1,French Ligue 1,1,64,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,2,0,1,3,2,4,2,0,29,3,0,0,24,31,14,16,8,9,2,4,1
Loïc Mbe Soh,Paris S-G,Ligue 1,French Ligue 1,1,58,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,1,1,1,1,0,0,5,4,2,1,6,0,0,0,71,77,36,40,31,32,4,5,4
Arthur Zagre,Paris S-G,Ligue 1,French Ligue 1,1,25,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,1,0,0,1,3,1,3,2,0,7,0,0,0,12,15,8,10,4,5,0,0,0
Jesé,Paris S-G,Ligue 1,French Ligue 1,1,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0
Abdallah Ali Mohamed,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Simon Ngapandouetnbu,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Niels Nkounkou,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Alexandre Phliponeau,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Steve Mandanda,Marseille,Ligue 1,French Ligue 1,27,"2,370",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,0,6,0,0,0,575,848,74,74,283,284,218,489,0
Morgan Sanson,Marseille,Ligue 1,French Ligue 1,27,"2,173",5,4,5,0.21,0.17,0.21,3.3,3.3,3.0,0.14,0.13,0.14,51,16,44,12,69,48,138,146,64,12,719,42,4,5,726,907,367,427,245,298,85,128,56
Bouna Sarr,Marseille,Ligue 1,French Ligue 1,27,"2,164",1,3,1,0.04,0.12,0.04,1.9,1.9,2.1,0.08,0.09,0.08,62,24,30,37,45,52,177,87,58,28,337,29,48,7,1100,1357,615,693,390,467,70,140,76
Darío Benedetto,Marseille,Ligue 1,French Ligue 1,26,"2,101",11,0,11,0.47,0.00,0.47,9.9,9.2,1.1,0.42,0.05,0.39,10,4,14,45,98,21,24,153,16,5,336,19,20,5,342,503,150,207,120,179,53,70,29
Jordan Amavi,Marseille,Ligue 1,French Ligue 1,26,"2,164",1,1,1,0.04,0.04,0.04,0.6,0.6,1.3,0.02,0.05,0.02,31,30,28,72,31,28,101,49,62,31,287,53,131,2,983,1222,422,484,447,531,96,159,74
Boubacar Kamara,Marseille,Ligue 1,French Ligue 1,24,"2,139",1,2,1,0.04,0.08,0.04,0.6,0.6,0.5,0.02,0.02,0.02,0,15,53,57,18,14,60,7,76,28,355,41,95,5,1130,1280,427,451,504,550,183,254,69
Dimitri Payet,Marseille,Ligue 1,French Ligue 1,22,"1,930",9,4,6,0.42,0.19,0.28,6.2,3.9,6.9,0.29,0.32,0.18,75,5,12,9,70,59,211,108,21,6,233,10,14,11,775,1109,310,362,295,371,160,327,119
Duje Ćaleta-Car,Marseille,Ligue 1,French Ligue 1,23,"1,886",1,1,1,0.05,0.05,0.05,1.3,1.3,0.3,0.06,0.02,0.06,3,15,19,58,22,0,69,7,34,19,144,38,124,0,941,1059,252,263,469,505,213,281,63
